timestamp,cpu_usage_system,cpu_usage_total,cpu_usage_user,memory_usage,memory_working_set,rx_bytes,tx_bytes,service,run_id,event_time,is_anomaly,fault_type,root_cause_service
1650161565,0.01,0.014128771,0.01,1.3321638107299805e-05,1.3321638107299805e-05,8399.0,11694.0,compose-post-service,SN.2022-04-17T181245D2022-04-17T183616,2022-04-17 02:12:45,0,normal,none
1650161566,0.01,0.014128771,0.01,1.3321638107299805e-05,1.3321638107299805e-05,8399.0,11694.0,compose-post-service,SN.2022-04-17T181245D2022-04-17T183616,2022-04-17 02:12:46,0,normal,none
1650161567,0.01,0.014128771,0.01,1.347064971923828e-05,1.347064971923828e-05,8399.0,11694.0,compose-post-service,SN.2022-04-17T181245D2022-04-17T183616,2022-04-17 02:12:47,0,normal,none
1650161568,0.01,0.014128771,0.01,1.347064971923828e-05,1.347064971923828e-05,8399.0,11694.0,compose-post-service,SN.2022-04-17T181245D2022-04-17T183616,2022-04-17 02:12:48,0,normal,none
1650161569,0.005,0.002681043,0.0,1.347064971923828e-05,1.347064971923828e-05,1592.0,2712.5,compose-post-service,SN.2022-04-17T181245D2022-04-17T183616,2022-04-17 02:12:49,0,normal,none
1650161570,0.005,0.002681043,0.0,1.347064971923828e-05,1.347064971923828e-05,1592.0,2712.5,compose-post-service,SN.2022-04-17T181245D2022-04-17T183616,2022-04-17 02:12:50,0,normal,none
1650161571,0.0,0.0023084115,0.0,1.3500452041625977e-05,1.3500452041625977e-05,1593.0,2715.0,compose-post-service,SN.2022-04-17T181245D2022-04-17T183616,2022-04-17 02:12:51,0,normal,none
1650161572,0.01,0.00434004,0.01,1.347064971923828e-05,1.347064971923828e-05,3184.0,5432.0,compose-post-service,SN.2022-04-17T181245D2022-04-17T183616,2022-04-17 02:12:52,0,normal,none
1650161573,0.01,0.00434004,0.01,1.347064971923828e-05,1.347064971923828e-05,3184.0,5432.0,compose-post-service,SN.2022-04-17T181245D2022-04-17T183616,2022-04-17 02:12:53,0,normal,none
1650161574,0.0,0.0027989325,0.0,1.3500452041625977e-05,1.3500452041625977e-05,1592.5,4477.0,compose-post-service,SN.2022-04-17T181245D2022-04-17T183616,2022-04-17 02:12:54,0,normal,none
1650161575,0.0,0.007176938,0.0,1.347064971923828e-05,1.347064971923828e-05,4778.0,8147.0,compose-post-service,SN.2022-04-17T181245D2022-04-17T183616,2022-04-17 02:12:55,0,normal,none
1650161576,0.0,0.007176938,0.0,1.347064971923828e-05,1.347064971923828e-05,4778.0,8147.0,compose-post-service,SN.2022-04-17T181245D2022-04-17T183616,2022-04-17 02:12:56,0,normal,none
1650161577,0.0,0.0051883735,0.0,1.341104507446289e-05,1.341104507446289e-05,3186.0,5828.0,compose-post-service,SN.2022-04-17T181245D2022-04-17T183616,2022-04-17 02:12:57,0,normal,none
1650161578,0.0,0.006832999,0.0,1.3619661331176758e-05,1.3619661331176758e-05,4529.0,6360.0,compose-post-service,SN.2022-04-17T181245D2022-04-17T183616,2022-04-17 02:12:58,0,normal,none
1650161579,0.0,0.006832999,0.0,1.3619661331176758e-05,1.3619661331176758e-05,4529.0,6360.0,compose-post-service,SN.2022-04-17T181245D2022-04-17T183616,2022-04-17 02:12:59,0,normal,none
1650161580,0.0,0.002432427,0.0,1.347064971923828e-05,1.347064971923828e-05,1989.0,2715.5,compose-post-service,SN.2022-04-17T181245D2022-04-17T183616,2022-04-17 02:13:00,0,normal,none
1650161581,0.0,0.007481711,0.0,1.3560056686401367e-05,1.3560056686401367e-05,4778.0,8146.0,compose-post-service,SN.2022-04-17T181245D2022-04-17T183616,2022-04-17 02:13:01,0,normal,none
1650161582,0.0,0.007481711,0.0,1.3560056686401367e-05,1.3560056686401367e-05,4778.0,8146.0,compose-post-service,SN.2022-04-17T181245D2022-04-17T183616,2022-04-17 02:13:02,0,normal,none
1650161583,0.005,0.0057391085,0.0,1.347064971923828e-05,1.347064971923828e-05,3186.0,5432.0,compose-post-service,SN.2022-04-17T181245D2022-04-17T183616,2022-04-17 02:13:03,0,normal,none
1650161584,0.01,0.0074504,0.0,1.3530254364013672e-05,1.3530254364013672e-05,4779.0,12533.0,compose-post-service,SN.2022-04-17T181245D2022-04-17T183616,2022-04-17 02:13:04,0,normal,none
1650161585,0.0,0.002559774,0.0,1.347064971923828e-05,1.347064971923828e-05,1659.0,2716.0,compose-post-service,SN.2022-04-17T181245D2022-04-17T183616,2022-04-17 02:13:05,0,normal,none
1650161586,0.0,0.002559774,0.0,1.347064971923828e-05,1.347064971923828e-05,1659.0,2716.0,compose-post-service,SN.2022-04-17T181245D2022-04-17T183616,2022-04-17 02:13:06,0,normal,none
1650161587,0.005,0.00394246,0.005,1.347064971923828e-05,1.347064971923828e-05,2388.5,4066.0,compose-post-service,SN.2022-04-17T181245D2022-04-17T183616,2022-04-17 02:13:07,0,normal,none
